condition,method,seed,coverage_percent,team_score_unique_weighted_cells,covered_area_m2,aoi_cells,covered_cells,cell_observations,exposure_redundancy_percent,revisited_covered_cells_percent,coverage_episodes,observation_step_s,evaluation_grid_m,mean_observation_age_s,post_warmup_mean_age_s,terminal_p95_age_s,max_censored_unobserved_time_s,mean_max_censored_unobserved_time_s,post_warmup_coverage_percent,completed_blind_intervals,completed_blind_interval_mean_s,completed_blind_interval_p95_s,time_to_80_percent_s,time_to_95_percent_s,planning_runtime_s,landing_to_charge_delay_samples_s,mean_landing_to_charge_delay_s,airborne_vehicle_seconds,runtime_s
main,no_heading,1,99.77480712647406,1722632,1722632.0,1726520,1722632,55372905,96.88903444744321,91.65724310241538,6671520,1,1.0,1194.8263251447354,1417.2453850687634,4157.0,6120,3077.8731251303197,94.66782892755369,4191977,1058.5486401762223,3134,3049,4746,11.624443708000001,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,17.002108249999992
main,no_heading,2,99.28213979565832,1714126,1714126.0,1726520,1714126,56228525,96.95150103973027,89.52579915362115,6797630,1,1.0,1288.3649582037328,1554.5567621583969,4349.0,6120,3319.3551438732247,93.45278363413108,4272318,1009.8601646693902,3587,3225,4679,11.874849582999985,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,17.420207415999982
main,no_heading,3,99.50605842967356,1717992,1717992.0,1726520,1717992,54920550,96.8718594405919,92.59856856143684,6593418,1,1.0,1182.6599493834285,1394.472747697056,4207.0,6120,3031.4109202326067,94.32366841971132,4059229,1121.3433289917864,3062,3171,4282,11.940407375000007,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,17.399603165999963
main,no_heading,4,99.53438129879758,1718481,1718481.0,1726520,1718481,53047451,96.76048336422423,93.56070855598637,6395576,1,1.0,1224.8585951059854,1448.097533261399,4219.0,6120,3166.773372448625,93.91116233811366,3932529,1010.1216087662672,3164,3316,5086,11.494745332999969,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,16.716868540999997
main,no_heading,5,99.37515927993884,1715732,1715732.0,1726520,1715732,56689463,96.9734551904293,90.57982248975948,6800306,1,1.0,1191.929290924799,1385.3895460845415,3679.0,6120,3035.2339463197645,96.05622871440818,4117659,1047.835053606916,2922,3251,5035,11.668565874999999,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,17.031389583999996
main,no_heading,6,99.37643351944953,1715754,1715754.0,1726520,1715754,55879446,96.92954364651361,90.83656514861687,6700769,1,1.0,1236.9593954340166,1491.0394757956672,4282.0,6120,3166.5421136158284,93.540184880569,4097993,961.8811772006443,3326,2995,5167,11.628999333999985,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,16.995370374999993
main,no_heading,7,99.40458262864027,1716240,1716240.0,1726520,1716240,53909734,96.816456189526,89.3805062229059,6495016,1,1.0,1249.3303528049698,1504.4443037668032,4437.0,6120,3200.1026544725805,91.5693997173505,3980446,1110.6080009627062,3500,3001,4661,11.762675374999986,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,17.15264720800002
main,no_heading,8,99.56513680698747,1719012,1719012.0,1726520,1719012,57365979,97.00342950653732,93.53768327388057,6890388,1,1.0,1221.556470748367,1452.6448167292656,3936.0,6120,3137.9551317100295,95.35279058452842,4235900,1072.4949580962723,3338,3282,5026,11.907501207999985,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,17.384665417000008
main,no_heading,9,99.72291082640224,1721736,1721736.0,1726520,1721736,56405084,96.94755174905865,92.01323547860996,6777393,1,1.0,1193.059302513905,1420.3757755808692,4224.0,6120,3103.9916572064035,93.17662118017746,4261730,990.1947650367339,3148,2907,4133,11.37195720799997,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,16.611512833999996
main,no_reinit,0,99.54770289368209,1718711,1718711.0,1726520,1718711,57770460,97.02493108069419,91.10886007013396,6722407,1,1.0,1202.35081082404,1427.90597728634,4514.0,6120,3169.764247156129,89.64720941547158,4276089,995.3249127882979,3303,2998,3882,2.490655750000002,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,7.940762124999999
main,no_reinit,1,99.51567314598151,1718158,1718158.0,1726520,1718158,55759871,96.91864782111853,93.24386930654806,6557935,1,1.0,1182.3483394931986,1400.6454125038101,4176.0,6120,3098.1621794129233,93.33190464054861,4152007,1101.2728962162155,3254,3009,4105,2.4964907499999924,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,7.926795290999991
main,no_reinit,2,99.68005004286078,1720996,1720996.0,1726520,1720996,58303222,97.04819743924273,91.42612766095912,6805201,1,1.0,1122.932668844401,1306.5121103399426,4212.0,6120,2915.3694391029353,94.62519982392327,4420089,1008.8513828567706,2932,3117,3791,2.532059290999996,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,8.123986125000016
main,no_reinit,3,99.65549197229109,1720572,1720572.0,1726520,1720572,56903459,96.97633143883222,91.4710340514666,6680626,1,1.0,1123.4039326094812,1306.1841263627377,4014.0,6120,2938.25552035308,95.28374997104001,4348005,1053.0639134499615,3081,3022,3827,2.4995585419999884,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,7.978791791999981
main,no_reinit,4,99.43539605680792,1716772,1716772.0,1726520,1716772,56380152,96.95500643559812,91.68876239826838,6682588,1,1.0,1152.3500971068177,1352.7011608130297,4185.0,6120,2985.5687075736164,94.45109237078053,4373408,1059.3763854184197,3107,3024,4420,2.470627874999991,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,7.802716332999978
main,no_reinit,5,99.5288789009105,1718386,1718386.0,1726520,1718386,56350005,96.95051313660043,90.67729834856662,6621705,1,1.0,1163.2600054715451,1364.1425326515357,4205.0,6120,3036.4989580196,94.18929407131108,4365520,1025.5741923069875,3082,3185,4282,2.4419015,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,7.796069250000002
main,no_reinit,6,99.48717651692422,1717666,1717666.0,1726520,1717666,58392587,97.05841770634345,91.6107089504013,6891667,1,1.0,1159.921912776129,1361.8960544456877,4568.0,6120,3014.999757894493,91.83641081481825,4503097,1028.8096592189775,3073,3008,3986,2.4807441670000117,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,7.913992624999992
main,no_reinit,7,99.58749391840233,1719398,1719398.0,1726520,1719398,55976232,96.92834272946418,90.7100043154639,6509867,1,1.0,1141.8080963775935,1339.2036873393856,4225.0,6120,2952.334150777286,93.76057039594097,4247244,1111.7351564920687,3271,2958,3963,2.519600582999999,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,7.968895875000015
main,no_reinit,8,99.54862961332623,1718727,1718727.0,1726520,1718727,57623662,97.017324237394,89.13655280914304,6685059,1,1.0,1161.4204141536777,1372.0578894600349,4381.0,6120,3018.1391139401803,92.02586706206705,4380017,965.9372956771629,2883,2941,3944,2.525564250000002,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,7.962119458000018
main,no_reinit,9,99.555406250724,1718844,1718844.0,1726520,1718844,56522428,96.95900537039917,89.95417850601916,6660886,1,1.0,1174.5344418652073,1386.1163376178783,4412.0,6120,3040.746859578806,91.75051548780205,4413371,998.3485621308519,2863,3146,4400,2.416532167000014,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,7.684675040999991
main,neither,0,99.48057363945972,1717552,1717552.0,1726520,1717552,52510799,96.72914518021331,91.10361724128295,6311932,1,1.0,1228.9273650420037,1480.2290589377792,4326.0,6120,3159.6635445867987,93.81715821421125,3769707,1244.506102728939,3673,3139,4458,5.812162375,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,11.128225166000007
main,neither,1,99.70651947269653,1721453,1721453.0,1726520,1721453,56114666,96.93225831549991,91.10890625535521,6737816,1,1.0,1196.3377097964753,1419.512462046373,4260.0,6120,3080.248861872437,93.8400945254037,4259452,1015.0489527760848,3119,3049,4746,5.891847875000025,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,11.401610583000007
main,neither,2,99.28213979565832,1714126,1714126.0,1726520,1714126,56228525,96.95150103973027,89.52579915362115,6797630,1,1.0,1288.3649582037328,1554.5567621583969,4349.0,6120,3319.3551438732247,93.45278363413108,4272318,1009.8601646693902,3587,3225,4679,6.036706624999994,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,11.552100166000002
main,neither,3,99.4136760651484,1716397,1716397.0,1726520,1716397,55587835,96.91227945826637,93.0498014154068,6668122,1,1.0,1181.631179957617,1392.9295935583389,4219.0,6120,3030.487323054468,94.1450432083034,4135528,1102.2034402862223,3009,3171,4282,5.898133332999976,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,11.336050124999986
